富勒姆,纽  卡,-1,-0.5,0.88,0.94,-0.5,0.84,0.98,3
布里斯,维  冈,1,0.25,1,0.82,0.25,0.86,0.96,3
伯明翰,加的夫,0,0.25,1.04,0.78,0.25,1.08,0.74,1
德比郡,布赖顿,1,0.25,0.7,1.12,0.5,1.1,0.72,1
罗瑟汉,狼  队,-1,0,1.02,0.8,0,1.02,0.8,1
雷  丁,普雷斯,2,0.25,0.74,1.08,0.25,0.92,0.9,3
哈德斯,布伦特,0,0.25,1.02,0.8,0.5,0.96,0.86,3
诺丁汉,伯 顿,2,0.5,1.02,0.8,0.5,0.98,0.84,3
布莱克,诺维奇,1,0,1,0.82,-0.25,0.92,0.9,0
巡游者,利  兹,0,0.25,0.88,0.94,0.25,0.94,0.88,3
谢周三,维  拉,2,0.25,0.78,1.04,0.25,0.86,0.96,3
布赖顿,诺丁汉,5,0.5,0.9,0.92,0.75,0.94,0.88,3
伯 顿,布里斯,1,0,0.86,0.96,0,0.96,0.86,0
狼  队,雷  丁,1,0.25,0.86,0.96,0,0.64,1.18,3
维  拉,罗瑟汉,5,1,1.2,0.62,0.75,0.86,0.96,3
巴恩斯,德比郡,1,-0.25,1.14,0.68,-0.5,0.78,1.04,3
利  兹,伯明翰,3,0.25,0.92,0.9,0.25,0.92,0.9,0
普雷斯,富勒姆,0,0.25,0.86,0.96,0.25,0.94,0.88,0
纽  卡,哈德斯,2,1,1.14,0.68,0.75,0.92,0.9,0
布伦特,伊普斯,3,0.25,1,0.82,0.25,0.98,0.84,3
维  冈,布莱克,1,0.25,0.84,0.98,0.25,0.78,1.04,3
诺维奇,谢周三,3,0.5,1.02,0.8,0.5,0.92,0.9,1
加的夫,巡游者,2,0.25,0.82,1,0.25,1.04,0.78,0
布赖顿,罗瑟汉,7,1,0.84,0.98,1.25,0.8,1.02,3
布伦特,诺丁汉,3,0.25,1,0.82,0.25,1,0.82,3
普雷斯,德比郡,2,-0.25,0.86,0.96,-0.25,0.86,0.96,0
维  冈,伯明翰,1,0.25,0.82,1,0.25,0.88,0.94,1
利  兹,富勒姆,0,0,0.76,1.06,0,0.96,0.86,1
维  拉,哈德斯,2,0.5,1.02,0.8,0.25,0.86,0.96,1
狼  队,伊普斯,1,0.25,0.86,0.96,0.25,0.86,0.96,1
伯 顿,谢周三,1,-0.25,0.94,0.88,-0.25,0.92,0.9,3
诺维奇,布里斯,3,0.5,0.84,0.98,0.5,0.78,1.04,3
纽  卡,雷  丁,2,0.75,0.92,0.9,1,1.02,0.8,3
巴恩斯,巡游者,2,0,0.9,0.92,0,0.86,0.96,3
加的夫,布莱克,2,0.5,0.92,0.9,0.5,0.94,0.88,3
谢周三,利  兹,1,0.5,0.76,1.06,0.5,0.7,1.12,0
布莱克,伯 顿,0,0.5,1.16,0.66,0.25,1.12,0.7,1
罗瑟汉,布伦特,0,0,1,0.82,0,1.12,0.7,3
诺丁汉,维  冈,1,0.25,1,0.82,0.25,1.04,0.78,3
富勒姆,加的夫,1,0.25,0.86,0.96,0.25,0.74,1.08,1
雷  丁,布赖顿,1,-0.25,1.02,0.8,0,1.06,0.76,1
布里斯,纽  卡,-1,-0.25,0.86,0.96,-0.25,0.74,1.08,0
伯明翰,狼  队,0,0,0.82,1,0,0.82,1,0
哈德斯,巴恩斯,-2,0.5,0.8,1.02,0.5,0.86,0.96,3
巡游者,普雷斯,0,0.5,1.04,0.78,0.5,1.04,0.78,0
德比郡,维  拉,2,0.25,0.8,1.02,0.25,0.88,0.94,1
伊普斯,诺维奇,2,-0.25,0.98,0.84,-0.25,0.86,0.96,1
伯 顿,德比郡,1,-0.5,0.76,1.06,-0.5,0.78,1.04,3
加的夫,雷  丁,1,0.25,1.02,0.8,0.25,1.16,0.66,0
巴恩斯,罗瑟汉,4,0.5,0.9,0.92,0.5,0.88,0.94,3
维  冈,巡游者,1,0.25,1,0.82,0.25,1.02,0.8,0
伯明翰,诺维奇,1,-0.25,1,0.82,-0.25,1.12,0.7,3
诺丁汉,利  兹,1,0.25,0.82,1,0.25,0.84,0.98,3
伊普斯,普雷斯,1,0.25,0.78,1.04,0.25,0.82,1,3
布莱克,富勒姆,-2,-0.25,0.88,0.94,0,1.1,0.72,0
布伦特,谢周三,2,0,0.98,0.84,0,0.98,0.84,1
布里斯,维  拉,2,0,0.82,1,0,0.9,0.92,3
哈德斯,狼  队,0,0.25,0.88,0.94,0.25,0.94,0.88,3
纽  卡,布赖顿,1,0.25,0.8,1.02,0.25,0.88,0.94,3
雷  丁,伊普斯,3,0.25,0.84,0.98,0.5,1.1,0.72,3
狼  队,伯 顿,1,0.5,0.78,1.04,0.5,0.82,1,1
罗瑟汉,布里斯,0,-0.25,0.92,0.9,-0.25,0.92,0.9,1
布赖顿,布伦特,4,1,0.98,0.84,1,0.98,0.84,0
谢周三,维  冈,1,0.5,0.82,1,0.5,0.8,1.02,3
诺维奇,加的夫,3,1,0.98,0.84,1,1.08,0.74,3
巡游者,布莱克,1,0.75,0.88,0.94,0.5,1.02,0.8,1
富勒姆,伯明翰,2,0.5,0.96,0.86,0.75,1.1,0.72,0
利  兹,哈德斯,2,0,0.94,0.88,0,0.72,1.1,0
普雷斯,巴恩斯,0,0.25,0.84,0.98,0.25,0.84,0.98,0
德比郡,纽  卡,0,0,0.88,0.94,0,0.9,0.92,0
维  拉,诺丁汉,3,0.75,1.02,0.8,0.75,1,0.82,1
谢周三,布里斯,1,0.5,0.98,0.84,0.5,0.94,0.88,3
诺维奇,维  冈,3,0.75,0.76,1.06,1,1.02,0.8,3
普雷斯,加的夫,2,0.25,1,0.82,0.25,1.04,0.78,3
巡游者,纽  卡,-2,-0.25,1,0.82,-0.25,0.92,0.9,0
利  兹,布莱克,3,0.5,1.02,0.8,0.5,1.04,0.78,3
布赖顿,哈德斯,4,0.5,0.82,1,0.5,0.96,0.86,3
德比郡,伊普斯,2,0.5,0.82,1,0.5,0.94,0.88,0
富勒姆,伯 顿,1,0.5,0.84,0.98,0.5,0.86,0.96,1
狼  队,巴恩斯,-1,0.5,0.94,0.88,0.5,0.96,0.86,0
雷  丁,伯明翰,3,0.5,0.98,0.84,0.25,0.82,1,1
维  拉,布伦特,2,0.75,0.96,0.86,0.75,0.96,0.86,1
罗瑟汉,诺丁汉,1,0,1.04,0.78,0,1.02,0.8,1
加的夫,利  兹,1,0.5,1.08,0.74,0.5,1.16,0.66,0
巴恩斯,雷  丁,1,0.25,0.94,0.88,0.25,1.08,0.74,0
伯 顿,布赖顿,0,-0.5,0.78,1.04,-0.5,0.92,0.9,0
布莱克,罗瑟汉,3,0.25,0.74,1.08,0.25,0.74,1.08,3
哈德斯,巡游者,1,0.25,0.74,1.08,0.25,0.6,1.22,3
诺丁汉,诺维奇,2,-0.25,0.9,0.92,-0.25,0.9,0.92,0
布伦特,普雷斯,2,0.25,0.84,0.98,0.25,0.88,0.94,3
维  冈,富勒姆,-1,0.25,1.08,0.74,0.25,1.16,0.66,1
布里斯,德比郡,1,0,0.86,0.96,0,0.8,1.02,1
伊普斯,维  拉,2,0,0.98,0.84,0,0.91,0.91,1
纽  卡,狼  队,2,0.75,0.76,1.06,1,0.86,0.96,0
伯明翰,谢周三,0,0,1,0.82,0,1,0.82,3
普雷斯,维  冈,2,0.25,1.04,0.78,0.25,1.06,0.76,3
诺维奇,伯 顿,3,1,0.84,0.98,1,0.8,1.02,3
富勒姆,布里斯,1,0.25,0.82,1,0.25,0.86,0.96,0
狼  队,布伦特,0,0.25,0.88,0.94,0.25,0.88,0.94,3
罗瑟汉,加的夫,-1,0,0.9,0.92,-0.25,0.76,1.06,0
谢周三,诺丁汉,3,0.75,0.98,0.84,1,1.16,0.66,3
德比郡,布莱克,3,0.75,0.76,1.06,0.75,0.82,1,0
巡游者,伯明翰,1,0.25,1.08,0.74,0.25,1.08,0.74,1
雷  丁,哈德斯,2,0.25,1.04,0.78,0.25,1.04,0.78,3
利  兹,伊普斯,3,0.25,1.02,0.8,0.25,1.02,0.8,3
布赖顿,巴恩斯,2,0.75,0.76,1.06,0.75,0.8,1.02,3
维  拉,纽  卡,0,0,1,0.82,0,1,0.82,1
伊普斯,布赖顿,0,-0.25,1,0.82,-0.25,1,0.82,1
哈德斯,罗瑟汉,3,1,0.82,1,1,1,0.82,3
伯 顿,巡游者,1,0,0.8,1.02,0,0.88,0.94,1
布里斯,利  兹,1,0.5,1.02,0.8,0.5,1.02,0.8,3
伯明翰,普雷斯,0,0.25,0.82,1,0.25,0.8,1.02,1
诺丁汉,富勒姆,0,0.25,1.02,0.8,0,0.82,1,1
布莱克,谢周三,0,-0.25,0.94,0.88,-0.25,0.8,1.02,0
加的夫,德比郡,1,0,1,0.82,-0.25,0.92,0.9,0
巴恩斯,维  拉,2,0,1.12,0.7,-0.25,1.02,0.8,1
布伦特,雷  丁,2,0.25,1,0.82,0.25,1.02,0.8,3
维  冈,狼  队,0,0,0.82,1,0,0.82,1,3
纽  卡,诺维奇,3,0.5,1.02,0.8,0.5,1.02,0.8,3
富勒姆,巡游者,2,0.25,0.78,1.04,0.25,0.76,1.06,0
布伦特,维  冈,2,0.5,1,0.82,0.5,0.96,0.86,1
伯 顿,加的夫,0,0,0.7,1.12,0,0.64,1.18,3
谢周三,布赖顿,0,0,0.76,1.06,0,0.6,1.22,0
罗瑟汉,纽  卡,-2,-1,0.9,0.92,-1,0.96,0.86,0
布里斯,诺丁汉,3,0.5,1,0.82,0.5,0.96,0.86,3
伯明翰,布莱克,1,0.5,0.96,0.86,0.5,1.1,0.72,3
伊普斯,哈德斯,1,0,0.9,0.92,0,0.9,0.92,0
雷  丁,德比郡,2,0,0.86,0.96,0,1,0.82,1
普雷斯,维  拉,3,-0.25,0.96,0.86,-0.25,0.88,0.94,3
利  兹,巴恩斯,0,0.25,0.82,1,0.25,0.78,1.04,3
狼  队,诺维奇,1,0,1.06,0.76,0,1.08,0.74,0
加的夫,布里斯,1,0,1.04,0.78,0,0.92,0.9,3
诺丁汉,伯明翰,3,0.25,0.92,0.9,0,0.82,1,3
维  冈,伯 顿,0,0.25,0.8,1.02,0.25,0.72,1.1,1
纽  卡,布伦特,2,1,0.92,0.9,1,1.02,0.8,3
巡游者,雷  丁,0,0.25,1,0.82,0.25,1.2,0.62,1
诺维奇,罗瑟汉,6,1.5,1,0.82,1.5,1,0.82,3
德比郡,利  兹,2,0.5,0.8,1.02,0.5,0.86,0.96,3
布赖顿,普雷斯,4,0.75,0.88,0.94,0.75,0.86,0.96,1
巴恩斯,富勒姆,0,0,0.82,1,0,0.86,0.96,0
