赫尔城,莱切城,1,-0.25,0.9,0.96,-0.5,1.02,0.84,3
伯恩利,斯旺西,2,0.25,1.08,0.78,0,0.92,0.94,0
米德尔,斯托克,1,0.25,0.92,0.94,0.25,0.82,1.04,1
南安普,沃特福,2,0.75,1.06,0.8,0.75,0.98,0.88,1
水晶宫,西布罗,2,0.25,0.74,1.12,0.25,0.84,1.02,0
埃弗顿,热  刺,1,-0.25,0.76,1.1,-0.25,1.02,0.84,1
曼  城,桑德兰,4,2,1.06,0.8,1.75,0.96,0.9,3
伯恩茅,曼  联,-1,-0.5,1.14,0.72,-0.75,0.9,0.96,0
阿森纳,利物浦,1,0.5,1.12,0.74,0,0.9,0.96,0
切尔西,西汉姆,4,1,1.06,0.8,1,0.8,1.06,3
曼  联,南安普,2,1.25,1.06,0.8,1,0.94,0.92,3
斯托克,曼  城,-2,-0.75,1,0.86,-1,0.96,0.9,0
伯恩利,利物浦,-1,-1,0.88,0.98,-1,1.04,0.82,3
斯旺西,赫尔城,3,0.75,1.08,0.78,0.75,1.06,0.8,0
热  刺,水晶宫,4,1,0.78,1.08,1.25,0.98,0.88,3
沃特福,切尔西,-2,-0.75,0.86,1,-0.75,1.08,0.78,0
西布罗,埃弗顿,0,-0.25,0.78,1.08,0,1.08,0.78,0
莱切城,阿森纳,0,-0.25,0.76,1.1,0,1.02,0.84,1
桑德兰,米德尔,0,0.25,1.14,0.72,0,0.84,1.02,0
西汉姆,伯恩茅,1,0.75,1,0.86,0.25,1.01,0.85,3
热  刺,利物浦,2,0.25,1.02,0.84,0,0.86,1,1
切尔西,伯恩利,5,1.75,1.04,0.82,1.75,0.8,1.06,3
水晶宫,伯恩茅,2,0.25,1.06,0.8,0.25,0.88,0.98,1
埃弗顿,斯托克,4,0.75,0.94,0.92,0.75,0.82,1.04,3
莱切城,斯旺西,2,0.75,1,0.86,0.75,0.84,1.02,3
南安普,桑德兰,1,0.75,0.78,1.08,1.25,0.96,0.9,1
沃特福,阿森纳,-2,-0.75,0.96,0.9,-0.75,1.16,0.7,0
赫尔城,曼  联,-3,-1,0.98,0.88,-1.25,0.86,1,0
西布罗,米德尔,1,0,0.78,1.08,0.25,1.14,0.72,1
曼  城,西汉姆,2,1.5,0.86,1,1.75,0.82,1.04,3
曼  联,曼  城,0,0.25,0.98,0.88,0.25,0.96,0.9,0
阿森纳,南安普,3,1,1.08,0.78,1,1.02,0.84,3
伯恩茅,西布罗,2,0.5,1.08,0.78,0.5,1.08,0.78,3
伯恩利,赫尔城,3,0.25,1,0.86,0.25,1.14,0.72,1
米德尔,水晶宫,1,0.25,0.92,0.94,0.25,1.02,0.84,0
斯托克,热  刺,-1,-0.5,1.02,0.84,-0.5,0.94,0.92,0
西汉姆,沃特福,2,0.5,0.86,1,0.5,0.86,1,0
利物浦,莱切城,5,1,1.04,0.82,0.75,0.78,1.08,3
斯旺西,切尔西,-2,-1,0.82,1.04,-0.75,1.16,0.7,1
桑德兰,埃弗顿,-1,-0.25,1.06,0.8,-0.5,0.8,1.06,0
切尔西,利物浦,2,0.25,0.98,0.88,0.25,0.88,0.98,0
赫尔城,阿森纳,-2,-1,0.9,0.96,-1,0.86,1,0
莱切城,伯恩利,2,1,0.9,0.96,1.25,0.96,0.9,3
曼  城,伯恩茅,4,1.75,1.02,0.84,1.75,0.9,0.96,3
西布罗,西汉姆,0,0,0.86,1,0,0.92,0.94,3
埃弗顿,米德尔,4,0.75,0.98,0.88,0.75,0.78,1.08,3
沃特福,曼  联,-2,-1,0.92,0.94,-1,0.96,0.9,3
水晶宫,斯托克,1,0.5,0.96,0.9,0.5,1.02,0.84,3
南安普,斯旺西,1,0.75,0.94,0.92,0.75,0.82,1.04,3
热  刺,桑德兰,5,1.5,0.92,0.94,1.5,0.88,0.98,3
曼  联,莱切城,5,0.75,0.9,0.96,0.75,0.78,1.08,3
伯恩茅,埃弗顿,1,-0.25,1.04,0.82,-0.25,0.94,0.92,3
利物浦,赫尔城,5,1.75,0.88,0.98,1.75,0.8,1.06,3
米德尔,热  刺,-2,-0.5,0.92,0.94,-0.5,0.8,1.06,0
斯托克,西布罗,2,0.25,1.04,0.82,0.25,0.9,0.96,1
桑德兰,水晶宫,-1,0,1.04,0.82,0,0.78,1.08,0
斯旺西,曼  城,-3,-1.25,1.02,0.84,-1.5,1,0.86,0
阿森纳,切尔西,2,0.25,1.08,0.78,0.25,1.02,0.84,3
西汉姆,南安普,0,0,1.04,0.82,-0.25,0.84,1.02,0
伯恩利,沃特福,2,0,1.04,0.82,-0.25,0.84,1.02,3
埃弗顿,水晶宫,4,0.75,0.9,0.96,0.75,0.9,0.96,1
斯旺西,利物浦,-2,-1,1.1,0.76,-1.25,1.02,0.84,0
赫尔城,切尔西,-2,-1.25,0.8,1.06,-1.25,0.96,0.9,0
桑德兰,西布罗,1,0.25,1.06,0.8,0.25,1.06,0.8,1
沃特福,伯恩茅,1,0.25,0.92,0.94,0.25,1.06,0.8,1
西汉姆,米德尔,1,0.25,0.84,1.02,0.25,0.76,1.1,1
曼  联,斯托克,3,1.5,0.88,0.98,1.5,0.86,1,1
莱切城,南安普,1,0.25,0.88,0.98,0.25,1.1,0.76,1
热  刺,曼  城,1,-0.25,1,0.86,-0.25,0.8,1.06,3
伯恩利,阿森纳,-1,-1.25,1.04,0.82,-1.5,0.9,0.96,0
切尔西,莱切城,6,1,1,0.86,1,0.86,1,3
阿森纳,斯旺西,5,1.75,0.82,1.04,1.75,0.74,1.12,3
伯恩茅,赫尔城,4,0.5,0.88,0.98,0.5,0.76,1.1,3
曼  城,埃弗顿,2,1.25,0.98,0.88,1.25,1.04,0.82,1
斯托克,桑德兰,2,0.5,1.1,0.76,0.5,0.9,0.96,3
西布罗,热  刺,-2,-0.75,0.84,1.02,-0.75,1,0.86,1
水晶宫,西汉姆,0,0.25,0.9,0.96,0.25,0.88,0.98,0
米德尔,沃特福,2,0.25,1,0.86,0.25,0.92,0.94,0
南安普,伯恩利,1,1.5,1.04,0.82,1.5,1.04,0.82,3
利物浦,曼  联,0,0.25,0.82,1.04,0.25,0.94,0.92,1
伯恩茅,热  刺,-1,-0.5,0.9,0.96,-0.5,1.02,0.84,1
阿森纳,米德尔,4,1.75,0.98,0.88,1.75,0.96,0.9,1
伯恩利,埃弗顿,1,-0.75,0.98,0.88,-0.75,1,0.86,3
赫尔城,斯托克,0,0,1.04,0.82,-0.25,0.76,1.1,0
莱切城,水晶宫,1,0.5,1.04,0.82,0.5,0.96,0.9,3
斯旺西,沃特福,2,0.25,1.06,0.8,0.25,1.08,0.78,1
西汉姆,桑德兰,1,0.75,0.96,0.9,0.75,0.82,1.04,3
利物浦,西布罗,4,1.75,1,0.86,1.75,1.08,0.78,3
曼  城,南安普,2,1,0.86,1,1.25,1,0.86,1
切尔西,曼  联,2,0.25,0.86,1,0.25,0.88,0.98,3
桑德兰,阿森纳,-3,-1.5,0.82,1.04,-1.25,0.96,0.9,0
曼  联,伯恩利,4,2,0.98,0.88,1.75,0.93,0.93,1
米德尔,伯恩茅,2,0,0.78,1.08,0.25,1.1,0.76,3
热  刺,莱切城,6,1,1.06,0.8,1,1.04,0.82,1
沃特福,赫尔城,2,0.75,1.02,0.84,0.75,0.92,0.94,3
西布罗,曼  城,-2,-1.25,0.9,0.96,-1.25,0.88,0.98,0
水晶宫,利物浦,-2,-0.75,0.98,0.88,-0.75,0.92,0.94,0
埃弗顿,西汉姆,3,0.75,0.98,0.88,0.5,0.82,1.04,3
南安普,切尔西,-2,-0.25,0.92,0.94,-0.25,0.88,0.98,0
斯托克,斯旺西,2,0.5,0.9,0.96,0.5,1.02,0.84,3
伯恩茅,桑德兰,2,0.75,0.82,1.04,1,1.04,0.82,0
伯恩利,水晶宫,1,-0.25,0.76,1.1,-0.25,0.9,0.96,3
曼  城,米德尔,3,1.75,0.82,1.04,2,0.88,0.98,1
西汉姆,斯托克,0,0.25,0.8,1.06,0.5,1.02,0.84,1
切尔西,埃弗顿,4,1,0.96,0.9,1,0.8,1.06,3
阿森纳,热  刺,1,0.5,0.98,0.88,0.5,0.91,0.95,1
赫尔城,南安普,-1,-0.75,1.02,0.84,-0.75,1,0.86,3
利物浦,沃特福,5,1.5,0.84,1.02,1.75,0.9,0.96,3
斯旺西,曼  联,-2,-1,0.86,1,-0.75,1.02,0.84,0
莱切城,西布罗,3,0.75,1.04,0.82,0.75,0.92,0.94,0
曼  联,阿森纳,1,0,0.94,0.92,0.25,1.06,0.8,1
水晶宫,曼  城,-2,-1,1,0.86,-1.25,0.82,1.04,0
埃弗顿,斯旺西,5,1,0.94,0.92,1,0.9,0.96,1
南安普,利物浦,-2,-0.25,1.06,0.8,-0.25,0.84,1.02,1
