轮数,主队,客队,主队积分,客队积分,主队排名,客队排名,威廉希尔1,威廉希尔2,威廉希尔3,威廉希尔4,威廉希尔5,威廉希尔6,立博1,立博2,立博3,立博4,立博5,立博6,澳门1,澳门2,澳门3,澳门4,澳门5,澳门6,盘,主队得分,客队得分
1,摩纳哥,图卢兹,0,0,0,0,1.33,4.80,7.50,1.30,5.00,10.00,1.33,4.80,8.50,1.30,5.20,11.00,0.880↓,球半,0.960↑,0.920,球半,0.920,输,3,2
轮数,主队,客队,主队积分,客队积分,主队排名,客队排名,威廉希尔1,威廉希尔2,威廉希尔3,威廉希尔4,威廉希尔5,威廉希尔6,立博1,立博2,立博3,立博4,立博5,立博6,澳门1,澳门2,澳门3,澳门4,澳门5,澳门6,盘,主队得分,客队得分
1,摩纳哥,图卢兹,0,0,0,0,1.33,4.80,7.50,1.30,5.00,10.00,1.33,4.80,8.50,1.30,5.20,11.00,0.880↓,球半,0.960↑,0.920,球半,0.920,输,3,2
1,日尔曼,亚  眠,0,0,17,2,1.17,6.50,13.00,1.08,10.00,26.00,1.15,7.00,19.00,1.10,11.00,34.00,0.960↓,两球半/三球x升,0.880↑,1.020,两球半,0.820,输,2,0
1,里  昂,斯特堡,0,0,11,4,1.36,4.50,7.50,1.36,5.00,8.00,1.36,4.60,7.50,1.33,5.20,9.50,0.920↑,球半x升,0.920↓,0.840,一球/球半,1.000,赢,4,0
1,梅  斯,甘  冈,0,0,8,14,2.80,3.00,2.50,2.90,3.25,2.45,2.80,3.00,2.50,2.90,3.20,2.45,0.800↓,受平手/半球x降,1.040↑,0.960,平手,0.880,输,1,3
1,蒙彼利,卡  昂,0,0,7,13,1.85,3.20,4.20,1.80,3.60,4.40,1.87,3.25,4.00,1.83,3.40,4.60,1.040↑,半球/一球x升,0.800↓,0.900,半球,0.940,赢半,1,0
1,埃蒂安,尼  斯,0,0,18,5,2.20,3.00,3.30,2.30,3.10,3.20,2.25,3.00,3.25,2.38,3.10,3.20,1.040↑,平手/半球,0.800↓,0.920,平手/半球,0.920,赢,1,0
1,特鲁瓦,雷  恩,0,0,3,12,2.60,3.00,2.70,2.70,3.10,2.70,2.55,2.90,2.80,2.90,3.10,2.55,1.040↑,平手,0.800↓,0.840,平手,1.000,走盘,1,1
1,里  尔,南  特,0,0,11,9,2.30,3.00,3.10,2.15,3.20,3.60,2.30,3.00,3.10,2.15,3.10,3.75,0.800↓,平手/半球,1.040↑,0.940,平手/半球,0.900,赢,3,0
1,昂  热,波尔多,0,0,13,12,2.50,3.00,2.80,2.40,3.10,3.10,2.45,2.90,2.90,2.45,3.00,3.10,1.060↓,平手/半球,0.780↑,1.100,平手/半球,0.740,输半,2,2
1,马  赛,第  戎,0,0,12,13,1.44,4.20,6.50,1.30,5.00,10.00,1.44,4.20,6.50,1.29,5.50,11.00,0.840↓,球半x升,1.000↑,0.960,一球/球半,0.880,赢,3,0
