贵州智诚,辽宁开新,3,0.25,1,0.7,0.25,1,0.7,1
广州富力,天津权健,2,0,0.82,0.88,0.25,0.95,0.75,3
山东鲁能,天津亿利,5,0.75,0.92,0.78,0.75,0.94,0.76,3
上  港,长春亚泰,4,1.75,0.9,0.8,1.75,0.86,0.84,3
重庆力帆,延边富德,3,0.5,0.82,0.88,0.5,0.8,0.9,1
恒  大,北京国安,3,1.25,1,0.7,1.25,1,0.7,3
河南建业,河北华夏,-1,0,0.96,0.74,0,1.14,0.56,1
上海申花,苏  宁,3,0.25,0.68,1.02,0.25,0.88,0.82,3
苏  宁,天津亿利,2,0.5,0.8,0.9,0.5,0.95,0.75,1
上  港,延边富德,6,2,0.84,0.86,2,0.7,1,3
山东鲁能,恒  大,2,-0.5,0.74,0.96,-0.5,0.86,0.84,3
贵州智诚,北京国安,0,-0.5,0.92,0.78,-0.5,1,0.7,1
重庆力帆,河北华夏,1,-0.25,0.8,0.9,0.25,0.96,0.74,1
上海申花,天津权健,1,0.75,0.64,1.06,0.75,0.58,1.12,1
广州富力,长春亚泰,2,0.75,1.06,0.64,0.75,0.8,0.9,3
河南建业,辽宁开新,3,0.5,1.04,0.66,0.5,0.7,1,1
延边富德,广州富力,-3,0,0.94,0.76,0,0.84,0.86,0
河北华夏,贵州智诚,2,1,0.74,0.96,1,0.96,0.74,3
天津权健,河南建业,2,0.75,0.8,0.9,0.75,1.06,0.64,3
恒  大,上  港,1,0.25,0.9,0.8,0.25,0.68,1.02,3
长春亚泰,山东鲁能,0,-0.25,0.82,0.88,-0.25,0.78,0.92,0
辽宁开新,苏  宁,1,-0.5,0.64,1.06,-0.5,0.56,1.14,3
天津亿利,重庆力帆,-1,0.5,0.84,0.86,0.5,0.84,0.86,3
北京国安,上海申花,2,0.25,0.96,0.74,0.5,0.8,0.9,3
北京国安,河南建业,2,1,0.82,0.88,1,0.98,0.72,3
苏  宁,重庆力帆,0,1,1.06,0.64,0.75,1,0.7,0
上  港,山东鲁能,3,0.75,0.72,0.98,0.75,0.62,1.08,3
贵州智诚,天津亿利,2,0,0.9,0.8,0,0.86,0.84,1
恒  大,广州富力,2,1.25,1,0.7,1.25,0.68,1.02,1
河北华夏,上海申花,3,0.25,0.94,0.76,0.25,0.92,0.78,3
长春亚泰,辽宁开新,4,0.25,0.62,1.08,0.75,0.86,0.84,1
天津权健,延边富德,3,0.75,0.72,0.98,1.25,1.02,0.68,3
重庆力帆,贵州智诚,1,0.75,0.98,0.72,0.75,0.98,0.72,3
长春亚泰,上海申花,2,0,0.8,0.9,0,0.66,1.04,0
河南建业,苏  宁,1,-0.25,0.68,1.02,-0.25,0.6,1.1,1
天津权健,上  港,0,-0.5,0.8,0.9,-0.75,0.88,0.82,1
山东鲁能,北京国安,4,0.5,0.98,0.72,0.25,0.84,0.86,3
延边富德,河北华夏,-2,-0.25,0.86,0.84,-0.25,0.94,0.76,1
天津亿利,恒  大,-2,-0.75,0.76,0.94,-1,0.78,0.92,0
辽宁开新,广州富力,-2,0.25,1,0.7,-0.25,0.82,0.88,0
北京国安,天津权健,1,0.5,0.7,1,0.75,0.8,0.9,1
恒  大,辽宁开新,6,2,0.66,1.04,2.5,0.94,0.76,3
上  港,河北华夏,4,1,0.72,0.98,1.25,0.76,0.94,3
苏  宁,广州富力,-1,0.25,0.98,0.72,0.5,0.8,0.9,0
天津亿利,延边富德,1,0.5,0.66,1.04,0.75,0.68,1.02,3
贵州智诚,上海申花,1,-0.5,0.66,1.04,-0.25,0.82,0.88,0
长春亚泰,河南建业,2,0.5,0.98,0.72,0.25,1,0.7,3
山东鲁能,重庆力帆,3,1,0.94,0.76,1,0.72,0.98,1
广州富力,贵州智诚,2,1.25,1.08,0.62,1.25,0.82,0.88,0
延边富德,长春亚泰,-2,0.25,1,0.7,0.25,1,0.7,3
辽宁开新,北京国安,0,-0.25,0.96,0.74,-0.25,0.98,0.72,0
天津权健,苏  宁,3,0.25,0.82,0.88,0.25,0.82,0.88,1
河北华夏,天津亿利,4,0.5,0.9,0.8,0.75,0.9,0.8,3
河南建业,恒  大,-2,-1,0.7,1,-1,0.7,1,0
重庆力帆,上  港,0,-0.75,0.78,0.92,-1,0.76,0.94,1
苏  宁,延边富德,2,1.25,0.94,0.76,1.25,0.74,0.96,1
恒  大,上海申花,4,1.25,0.76,0.94,1.25,0.78,0.92,3
天津权健,长春亚泰,1,0.75,0.92,0.78,0.75,0.7,1,0
上  港,贵州智诚,4,2,0.92,0.78,2,1,0.7,3
重庆力帆,河南建业,2,0.5,0.96,0.74,0.5,1.02,0.68,0
天津亿利,辽宁开新,3,0.75,0.86,0.84,0.5,0.8,0.9,1
北京国安,河北华夏,1,0.5,0.72,0.98,0.5,0.7,1,0
