轮数,主队,客队,主队积分,客队积分,主队排名,客队排名,威廉希尔1,威廉希尔2,威廉希尔3,威廉希尔4,威廉希尔5,威廉希尔6,立博1,立博2,立博3,立博4,立博5,立博6,澳门1,澳门2,澳门3,澳门4,澳门5,澳门6,盘,主队得分,客队得分
1,贵州智诚,辽宁开新,0,0,0,0,2.1,3.3,3.2,2.5,3,2.8,,,,,,,1,平手/半球,0.7,1,平手/半球,0.7,输半,1,1
1,广州富力,天津权健,0,0,16,15,1.91,3.25,3.8,2.25,3.3,2.9,2.45,3.5,2.55,2.45,3.5,2.55,0.950↑,平手/半球x升,0.750↓,0.82,平手,0.88,赢,2,0
1,山东鲁能,天津亿利,0,0,4,8,1.8,3.5,4,1.8,3.5,4,1.65,3.9,4.33,1.65,3.9,4.33,0.940↑,半球/一球,0.760↓,0.92,半球/一球,0.78,赢,2,0
1,上  港,长春亚泰,0,0,14,7,1.25,5.5,9,1.25,5,11,1.25,5.5,10,1.25,5.5,10,0.860↓,球半/两球,0.840↑,0.9,球半/两球,0.8,赢,5,1
1,重庆力帆,延边富德,0,0,8,12,2.05,3.25,3.5,1.91,3.3,3.8,1.83,3.5,3.8,1.83,3.5,3.8,0.800↓,半球,0.900↑,0.82,半球,0.88,输,0,0
1,恒  大,北京国安,0,0,11,9,1.4,4.2,7,1.4,4.33,7,1.4,4.5,6.5,1.4,4.5,6.5,1,一球/球半,0.7,1,一球/球半,0.7,输半,2,1
1,河南建业,河北华夏,0,0,10,13,2.37,3.2,2.8,3.2,3,2.25,2.85,3.3,2.3,2.85,3.3,2.3,1.140↑,平手,0.560↓,0.96,平手,0.74,走盘,0,0
1,上海申花,苏  宁,0,0,8,12,2.1,3.3,3.2,2.15,3.3,3.1,1.95,3.6,3.3,2.05,3.5,3.2,0.880↑,平手/半球,0.820↓,0.68,平手/半球,1.02,赢,4,0
2,苏  宁,天津亿利,0,0,16,13,1.83,3.4,4,2.05,3.25,3.4,1.85,3.6,3.7,1.85,3.6,3.7,0.950↑,半球,0.750↓,0.8,半球,0.9,输,0,0
2,上  港,延边富德,3,1,1,10,1.14,6.5,15,1.18,6.5,11,1.17,6.5,12,1.17,6.5,12,0.700↓,两球,1.000↑,0.84,两球,0.86,走盘,2,0
2,山东鲁能,恒  大,3,3,3,5,3.6,3.4,1.91,3.1,3.4,2.1,3.2,3.75,1.95,3.2,3.75,1.95,0.860↑,受半球,0.840↓,0.74,受半球,0.96,赢,2,1
2,贵州智诚,北京国安,1,0,7,14,3.4,3.2,2.05,5,3.3,1.7,3.8,3.7,1.8,5.25,3.5,1.7,1.000↑,受半球,0.700↓,0.92,受半球,0.78,赢,1,1
2,重庆力帆,河北华夏,1,1,8,10,2.4,3.1,2.87,2.37,3.2,2.8,2.9,3.5,2.2,2.4,3.1,3,0.960↑,平手/半球x升,0.740↓,0.8,受平手/半球,0.9,输半,1,1
2,上海申花,天津权健,3,0,3,15,1.61,3.6,5,1.5,4.2,5.5,1.53,4.1,5.25,1.53,4.2,5.75,0.580↓,半球/一球,1.120↑,0.64,半球/一球,1.06,输,1,1
2,广州富力,长春亚泰,3,0,4,16,1.8,3.5,4,1.75,3.5,4.33,1.8,3.75,3.75,1.67,3.8,5,0.800↓,半球/一球,0.900↑,1.06,半球/一球,0.64,赢半,1,0
2,河南建业,辽宁开新,1,1,10,9,2.1,3.25,3.25,1.75,3.25,4.75,1.95,3.5,3.3,1.73,3.4,5.25,0.700↓,半球,1.000↑,1.04,半球,0.66,输,1,1
3,延边富德,广州富力,1,6,14,3,2.75,3.25,2.4,2.5,3.3,2.6,2.75,3.4,2.4,2.6,3.4,2.62,0.840↓,平手,0.860↑,0.94,平手,0.76,输,0,1
3,河北华夏,贵州智诚,2,2,10,7,1.5,3.75,6.5,1.6,3.5,5.5,1.57,4,5.75,1.57,3.6,6.5,0.960↑,一球,0.740↓,0.74,一球,0.96,走盘,1,0
3,天津权健,河南建业,1,2,12,9,1.73,3.3,4.8,1.85,3.2,4.2,1.65,3.8,5.25,1.85,3.3,4.33,1.060↑,半球/一球,0.640↓,0.8,半球/一球,0.9,赢半,1,0
3,恒  大,上  港,3,6,5,2,2.25,3.4,2.87,1.95,3.5,3.4,2.2,3.5,3,1.85,3.6,4,0.680↓,平手/半球,1.020↑,0.9,平手/半球,0.8,赢,3,2
3,长春亚泰,山东鲁能,0,6,16,3,3.4,3.4,2,3.1,3.3,2.15,3.5,3.4,2.05,3.1,3.3,2.3,0.780↓,受平手/半球,0.920↑,0.82,受平手/半球,0.88,输,0,2
3,辽宁开新,苏  宁,2,1,8,15,3.5,3.3,2,3.2,3.2,2.15,3.6,3.4,2,2.88,3.1,2.5,0.560↓,受半球,1.140↑,0.64,受半球,1.06,赢,3,1
3,天津亿利,重庆力帆,1,2,13,9,2.05,3.25,3.4,1.91,3.3,3.75,1.85,3.6,4,1.85,3.6,3.8,0.84,半球,0.86,0.84,半球,0.86,赢,2,0
3,北京国安,上海申花,1,4,12,7,2.6,3,2.7,2,3.2,3.6,2.4,3.2,3,1.83,3.5,4.33,0.800↓,半球x升,0.900↑,0.96,平手/半球,0.74,赢,2,1
4,北京国安,河南建业,4,2,8,12,1.5,3.75,6.5,1.5,3.75,6.5,1.5,4,6.5,1.57,3.6,6,0.980↑,一球,0.720↓,0.82,一球,0.88,走盘,1,0
4,苏  宁,重庆力帆,1,2,15,13,1.55,3.6,6,1.8,3.3,4.33,1.57,3.8,5.75,2,3.3,3.8,1.000↓,半球/一球x降,0.700↑,1.06,一球,0.64,输,1,2
4,上  港,山东鲁能,6,9,3,1,1.61,3.8,4.75,1.53,4.2,5,1.67,4,4.5,1.57,4,5.5,0.620↓,半球/一球,1.080↑,0.72,半球/一球,0.98,赢半,2,1
4,贵州智诚,天津亿利,2,4,12,10,2.45,3,2.87,2.6,3,2.7,2.3,3.25,3.1,2.5,3.1,2.9,0.860↓,平手,0.840↑,0.9,平手,0.8,走盘,0,0
4,恒  大,广州富力,6,9,5,3,1.44,4.2,6.5,1.35,4.8,7,1.44,4.5,6.5,1.36,5,8,0.680↓,一球/球半,1.020↑,1,一球/球半,0.7,输,2,2
4,河北华夏,上海申花,5,4,7,10,2.25,3.2,3,2.25,3.2,3,2.3,3.3,3.1,2.3,3.25,3.1,0.920↓,平手/半球,0.780↑,0.94,平手/半球,0.76,赢,4,2
4,长春亚泰,辽宁开新,0,5,16,7,2.1,3.2,3.3,1.73,3.4,4.6,2.05,3.4,3.6,1.75,3.5,4.75,0.860↑,半球/一球x升,0.840↓,0.62,平手/半球,1.08,输,1,1
4,天津权健,延边富德,4,1,11,14,1.57,3.5,6,1.5,3.8,6.5,1.62,3.8,5.75,1.48,4,7,1.020↑,一球/球半x升,0.680↓,0.72,半球/一球,0.98,输半,1,0
5,重庆力帆,贵州智诚,5,3,10,12,1.75,3.4,4.5,1.75,3.4,4.5,1.67,3.6,5.5,1.85,3.4,4.33,0.98,半球/一球,0.72,0.98,半球/一球,0.72,赢半,2,1
